C93E  D0 05     BNE $C945                       A:6B X:00 Y:00 P:2F SP:FB PPU:  0, 00 CYC:0
C940  70 03     BVS $C945                       A:6B X:00 Y:00 P:2F SP:FB PPU:  0, 00 CYC:0
C942  4C 49 C9  JMP $C949                       A:6B X:00 Y:00 P:2F SP:FB PPU:  0, 00 CYC:0
C949  EA        NOP                             A:6B X:00 Y:00 P:2F SP:FB PPU:  0, 00 CYC:0
C94A  D8        CLD                             A:6B X:00 Y:00 P:2F SP:FB PPU:  0, 00 CYC:0
C94B  38        SEC                             A:6B X:00 Y:00 P:27 SP:FB PPU:  0, 00 CYC:0
C94C  B8        CLV                             A:6B X:00 Y:00 P:27 SP:FB PPU:  0, 00 CYC:0
C94D  A9 7F     LDA #$7F                        A:6B X:00 Y:00 P:27 SP:FB PPU:  0, 00 CYC:0
C94F  69 7F     ADC #$7F                        A:7F X:00 Y:00 P:25 SP:FB PPU:  0, 00 CYC:0
C951  10 0B     BPL $C95E                       A:FF X:00 Y:00 P:E4 SP:FB PPU:  0, 00 CYC:0
C953  B0 09     BCS $C95E                       A:FF X:00 Y:00 P:E4 SP:FB PPU:  0, 00 CYC:0
C955  C9 FF     CMP #$FF                        A:FF X:00 Y:00 P:E4 SP:FB PPU:  0, 00 CYC:0
C957  D0 05     BNE $C95E                       A:FF X:00 Y:00 P:67 SP:FB PPU:  0, 00 CYC:0
C959  50 03     BVC $C95E                       A:FF X:00 Y:00 P:67 SP:FB PPU:  0, 00 CYC:0
C95B  4C 62 C9  JMP $C962                       A:FF X:00 Y:00 P:67 SP:FB PPU:  0, 00 CYC:0
C962  EA        NOP                             A:FF X:00 Y:00 P:67 SP:FB PPU:  0, 00 CYC:0
C963  18        CLC                             A:FF X:00 Y:00 P:67 SP:FB PPU:  0, 00 CYC:0
C964  24 01     BIT $01 = 00                    A:FF X:00 Y:00 P:66 SP:FB PPU:  0, 00 CYC:0
C966  A9 7F     LDA #$7F                        A:FF X:00 Y:00 P:E4 SP:FB PPU:  0, 00 CYC:0
C968  69 80     ADC #$80                        A:7F X:00 Y:00 P:64 SP:FB PPU:  0, 00 CYC:0
C96A  10 0B     BPL $C977                       A:FF X:00 Y:00 P:A4 SP:FB PPU:  0, 00 CYC:0
C96C  B0 09     BCS $C977                       A:FF X:00 Y:00 P:A4 SP:FB PPU:  0, 00 CYC:0
C96E  C9 FF     CMP #$FF                        A:FF X:00 Y:00 P:A4 SP:FB PPU:  0, 00 CYC:0
C970  D0 05     BNE $C977                       A:FF X:00 Y:00 P:27 SP:FB PPU:  0, 00 CYC:0
C972  70 03     BVS $C977                       A:FF X:00 Y:00 P:27 SP:FB PPU:  0, 00 CYC:0
